journal             human               resources           12
gap                 filling             transfers           9
aggregate           earnings            deficit             7
incidence           posttransfer        poverty             7
over                estimation          period              7
below               poverty             line                6
incidence           earnings            poverty             6
labor               supply              response            6
log                 normal              distribution        6
proportion          households          earnings            6
female              headed              households          5
labor               supply              effects             5
labor               supply              responses           5
about               transfer            growth              4
base                line                projections         4
households          earnings            below               4
log                 median              earnings            4
percent             per                 year                4
posttransfer        poverty             p                   4
transfers           per                 capita              4
u                   s                   department          4
aggregate           income              deficit             3
american            economic            review              3
assumptions         about               transfer            3
cumulative          normal              distribution        3
current             population          reports             3
department          health              education           3
earnings            below               poverty             3
five                year                period              3
foundations         war                 poverty             3
growth              labor               supply              3
health              education           welfare             3
institute           research            poverty             3
ln                  x                   dx                  3
lower               tail                earnings            3
madison             institute           research            3
new                 york                academic            3
poverty             university          wisconsin           3
proportion          female              headed              3
proportion          house               holds               3
real                transfers           per                 3
reduced             form                equation            3
research            poverty             university          3
s                   department          health              3
tail                earnings            distribution        3
total               number              households          3
transfer            growth              labor               3
transfers           assumed             grow                3
york                academic            press               3
about               future              growth              2
about               growth              transfers           2
actual              growth              transfers           2
aed                 n                   ep                  2
another             decade              growing             2
assumed             drop                unemployment        2
assumed             grow                fast                2
assumed             remain              constant            2
assumptions         about               future              2
assumptions         made                about               2
between             t                   t                   2
can                 derived             from                2
can                 translated          projections         2
cash                kind                transfers           2
cash                transfers           continue            2
changes             labor               supply              2
congressional       budget              office              2
constant            posttransfer        poverty             2
current             population          report              2
decade              growing             real                2
did                 trickle             down                2
distributed         log                 normally            2
during              which               limited             2
earned              unearned            income              2
earnings            above               zero                2
earnings            poor                households          2
earnings            poor                proportion          2
earnings            poverty             first               2
earnings            poverty             projected           2
either              another             decade              2
ep                  n                   where               2
future              growth              transfers           2
gap                 filling             efficiency          2
general             methodology         can                 2
growing             real                transfers           2
grows               more                slowly              2
growth              did                 trickle             2
high                values              y                   2
holding             unemployment        rates               2
households          earnings            above               2
households          earnings            gaps                2
impact              cash                transfers           2
implicit            standard            deviation           2
incomes             below               poverty             2
increase            proportion          female              2
induced             changes             labor               2
kind                transfers           could               2
labor               market              generated           2
labor               supply              reductions          2
lack                improvement         earnings            2
limited             reductions          poverty             2
line                earnings            poor                2
line                posttransfer        poor                2
line                projections         earnings            2
log                 linear              form                2
m                   exp                 u                   2
mean                log                 normal              2
money               income              received            2
n                   ep                  l                   2
n                   total               number              2
normal              distribution        evaluated           2
official            poverty             series              2
over                projection          period              2
over                ten                 year                2
overall             unemployment        rate                2
per                 capita              constant            2
percent             yearly              growth              2
plotnick            s                   upper               2
poor                proportion          total               2
population          report              series              2
population          reports             series              2
posttransfer        poverty             projected           2
posttransfer        poverty             would               2
poverty             first               step                2
poverty             line                earnings            2
poverty             line                posttransfer        2
projecting          earnings            poverty             2
projections         earnings            poverty             2
projections         posttransfer        poverty             2
proportion          households          zero                2
proportion          total               incomes             2
r                   cumulative          normal              2
received            households          earnings            2
relationship        between             t                   2
report              series              p                   2
reports             series              p                   2
result              assumed             drop                2
spread              lower               tail                2
t                   grows               more                2
t                   t                   i                   2
ten                 year                period              2
through             higher              earnings            2
total               incomes             below               2
transfers           continue            offset              2
transfers           gnp                 constant            2
transfers           grow                fast                2
two                 scenarios           which               2
under               variety             assumptions         2
unemployment        rate                stabilizes          2
unemployment        rate                u                   2
unemployment        rates               constant            2
using               technique           developed           2
values              y                   yield               2
washington          u                   s                   2
which               limited             reductions          2
year                period              second              2
a2lns               e                   drawback            1
aaed                ap                  dt                  1
aaed                ax                  dx                  1
aaidl               t                   y                   1
aaron               foundations         war                 1
ability             continue            past                1
about               changes             trans               1
about               different           trends              1
about               future              transfer            1
about               future              values              1
about               growth              t                   1
about               policies            would               1
about               results             presented           1
about               who                 reduced             1
above               method              understates         1
above               zero                below               1
above               zero                zero                1
absolute            poverty             projection          1
absolute            size                total               1
abstract            previous            projections         1
accommodate         substantial         increases           1
accompanied         increase            transfers           1
accompany           additional          dollar              1
according           report              prepared            1
account             demographic         shifts              1
account             fact                slope               1
account             projections         proportion          1
accuracy            i                   therefore           1
accuracy            projections         sharp               1
accurately          predicted           solely              1
acknowledge         sheldon             danziger            1
added               determine           posttransfer        1
added               together            yield               1
addition            unemployment        time                1
additional          dollar              gap                 1
additional          dollar              s                   1
additional          measure             earnings            1
additional          one                 shot                1
adjust              induced             changes             1
adjusted            depending           assumptions         1
adjusted            downward            projected           1
adjusted            either              were                1
adjusting           changes             cyclical            1
adjusting           effects             changes             1
adjustment          cyclical            demographic         1
adjustment          depend              sensitivity         1
adjustment          need                made                1
adjustments         have                made                1
adjustments         labor               supply              1
aed                 actual              growth              1
aed                 aed                 nep                 1
aed                 aedo                aed                 1
aed                 alternative         population          1
aed                 approaches          one                 1
aed                 calculated          separately          1
aed                 can                 calculated          1
aed                 can                 t                   1
